"PK","Lng","Lat"
"32","-74.30530299999999","4.763293"
"33","-74.312506","4.768728"
"34","-74.31863300000001","4.775349"
"35","-74.325531","4.781138"
"36","-74.332762","4.783438"
"6","-74.1131","4.647977"
"7","-74.11939099999999","4.654453"
"8","-74.12567900000001","4.660931"
"9","-74.131968","4.667408"
"10","-74.138255","4.673888"
"11","-74.144544","4.680365"
"12","-74.150834","4.686841"
"13","-74.15757499999999","4.692763"
"14","-74.165474","4.697116"
"15","-74.17367299999999","4.700407"
"50","-74.00331","4.996805"
"51","-74.004744","5.005637"
"52","-74.004833","5.014656"
"53","-74.000429","5.02242"
"37","-74.02783599999999","4.88476"
"38","-74.026786","4.893739"
"39","-74.025735","4.902713"
"40","-74.02432399999999","4.911627"
"41","-74.022116","4.920392"
"42","-74.019744","4.929115"
"36","-74.02705","4.875977"
"35","-74.0115272","4.8577046"
"34","-74.027331","4.858426"
"5","-74.106815","4.641503"
"6","-74.105012","4.647699"
"7","-74.096647","4.651065"
"8","-74.08828200000001","4.65443"
"9","-74.079919","4.657799"
"10","-74.075614","4.664945"
"11","-74.069824","4.671861"
"12","-74.062333","4.676807"
"13","-74.05450399999999","4.681285"
"14","-74.046679","4.685772"
"15","-74.038856","4.690262"
"16","-74.033298","4.696905"
"17","-74.032811","4.705908"
"18","-74.03256399999999","4.714947"
"19","-74.03232199999999","4.723987"
"20","-74.032078","4.733026"
"21","-74.031837","4.742066"
"22","-74.031598","4.751105"
"23","-74.031357","4.760145"
"24","-74.031116","4.769184"
"25","-74.030877","4.778224"
"26","-74.031757","4.787198"
"27","-74.033108","4.796139"
"28","-74.033891","4.805127"
"29","-74.033979","4.814169"
"30","-74.03440500000001","4.823186"
"31","-74.03219","4.831951"
"32","-74.030019","4.840728"
"33","-74.02784200000001","4.849503"
"34","-74.02724499999999","4.858448"
"35","-74.024609","4.866383"
"36","-74.02247699999999","4.875122"
"37","-74.016738","4.881928"
"38","-74.011965","4.889598"
"39","-74.007541","4.897467"
"40","-74.003531","4.905567"
"41","-74.001921","4.914254"
"42","-73.999467","4.922766"
"43","-73.99420000000001","4.930053"
"44","-73.98759099999999","4.935956"
"45","-73.978959","4.93855"
"46","-73.970293","4.941045"
"47","-73.961628","4.943544"
"48","-73.953434","4.947276"
"49","-73.945336","4.951249"
"50","-73.93723799999999","4.955224"
"51","-73.92914","4.959199"
"52","-73.920773","4.962554"
"53","-73.913723","4.967883"
"54","-73.905586","4.970003"
"55","-73.89737","4.972038"
"56","-73.890991","4.978101"
"57","-73.88350199999999","4.983137"
"58","-73.876509","4.988748"
"59","-73.87066900000001","4.995638"
"60","-73.86482700000001","5.002526"
"61","-73.858982","5.009413"
"62","-73.85314099999999","5.016301"
"63","-73.84729799999999","5.023189"
"64","-73.841454","5.030076"
"65","-73.83677400000001","5.037782"
"66","-73.83322800000001","5.045999"
"67","-73.82770600000001","5.053073"
"68","-73.820328","5.051006"
"69","-73.812212","5.052938"
"70","-73.804186","5.05699"
